Problem,Greedy Profit,Greedy Weight,Greedy Time,Brute Force Profit,Brute Force Weight,Brute Force Time,Branch and Bound Profit,Branch and Bound Weight,Branch and Bound Time,Dynamic Profit,Dynamic Weight,Dynamic Time,OR_Dynamic Profit,OR_Dynamic Weight,OR_Dynamic Time,OR_Integer Profit,OR_Integer Weight,OR_Integer Time,
problem_10_50_1_1_5.txt,123,51,0.000002,123,51,0.000588,123,51,0.000020,123,51,0.000034,123,51,0.000030,123,51,0.005282,
problem_10_50_2_1_5.txt,64,51,0.000002,64,51,0.000540,64,51,0.000023,64,51,0.000033,64,51,0.000021,64,51,0.003385,
problem_10_50_3_1_5.txt,68,38,0.000001,81,51,0.000515,81,51,0.000156,81,51,0.000038,81,51,0.000029,81,51,0.006843,
problem_10_50_4_1_5.txt,31,31,0.000001,51,51,0.000524,51,51,0.000724,51,51,0.000033,51,51,0.000016,51,51,0.007930,
problem_10_100_1_1_5.txt,273,70,0.000002,281,100,0.000531,281,100,0.000039,281,100,0.000062,281,100,0.000017,281,100,0.007756,
problem_10_100_2_1_5.txt,126,101,0.000001,126,101,0.000539,126,101,0.000021,126,101,0.000064,126,101,0.000019,126,101,0.003426,
problem_10_100_3_1_5.txt,111,81,0.000001,128,98,0.000524,128,98,0.000531,128,98,0.000063,128,98,0.000018,128,98,0.006589,
problem_10_100_4_1_5.txt,81,81,0.000001,98,98,0.000534,98,98,0.002565,98,98,0.000061,98,98,0.000019,98,98,0.007974,
problem_10_500_1_1_5.txt,1013,330,0.000001,1104,472,0.000502,1104,472,0.000046,1104,472,0.000302,1104,472,0.000021,1104,472,0.008029,
problem_10_500_2_1_5.txt,541,495,0.000001,541,495,0.000514,541,495,0.000021,541,495,0.000306,541,495,0.000019,541,495,0.005640,
problem_10_500_3_1_5.txt,402,382,0.000001,565,545,0.000507,565,545,0.001840,565,545,0.000351,565,545,0.000018,565,545,0.009242,
problem_10_500_4_1_5.txt,523,523,0.000001,545,545,0.000528,545,545,0.001005,545,545,0.000381,545,545,0.000021,545,545,0.008525,
problem_10_1000_1_1_5.txt,1136,616,0.000001,1185,931,0.000519,1185,931,0.000036,1185,931,0.000709,1185,931,0.000025,1185,931,0.006854,
problem_10_1000_2_1_5.txt,1052,931,0.000001,1052,931,0.000521,1052,931,0.000413,1052,931,0.000740,1052,931,0.000023,1052,931,0.005925,
problem_10_1000_3_1_5.txt,1017,987,0.000001,1156,1136,0.000514,1156,1136,0.002254,1156,1136,0.000696,1156,1136,0.000024,1156,1136,0.008563,
